,PlayerID,GP,PTS,AST,REB,STL,BLK,TOV,FT_PCT,FG_PCT,FG3_PCT,FTA
464,202696,14,239,49,162,9,15,20,0.846,0.45,0.32,39.0
465,1629731,3,3,0,2,1,0,0,0.0,0.5,1.0,0.0
466,1629021,14,172,16,81,8,11,32,0.808,0.632,0.486,26.0
468,202689,15,317,70,69,14,8,32,0.917,0.4,0.389,72.0
469,1629022,10,11,4,9,0,1,3,0.143,0.294,0.0,7.0
471,1627820,11,35,12,19,5,0,9,0.647,0.343,0.0,17.0
472,1628476,3,3,1,0,0,0,1,0.0,1.0,1.0,0.0
473,202954,15,107,42,28,13,2,18,0.939,0.53,0.353,33.0
474,203933,15,247,16,54,18,6,20,0.806,0.472,0.286,36.0
475,1629023,17,190,27,89,19,14,23,0.657,0.486,0.481,35.0
476,1629139,1,4,0,1,0,0,0,0.0,1.0,0.0,0.0
479,201566,15,333,102,113,24,5,60,0.71,0.414,0.23,100.0
480,1629632,17,236,39,62,14,0,26,0.794,0.386,0.356,34.0
481,1628401,15,147,41,41,8,12,20,0.783,0.455,0.379,46.0
482,202355,14,209,13,168,5,25,29,0.788,0.587,0.0,52.0
483,203952,13,328,46,67,8,15,24,0.695,0.469,0.33,59.0
484,1629684,14,36,14,35,8,9,12,0.8,0.273,0.0,15.0
485,1629026,17,95,33,105,17,14,13,0.471,0.422,0.333,17.0
486,101150,17,382,98,61,9,3,51,0.861,0.434,0.358,122.0
487,101107,17,131,11,43,10,5,11,0.833,0.511,0.423,18.0
488,1629057,13,56,20,60,11,16,11,0.545,0.781,0.0,11.0
489,1628430,4,0,1,0,0,0,1,0.0,0.0,0.0,0.0
491,1628391,7,19,5,11,0,1,4,0.0,0.4,0.214,0.0
493,1626159,5,69,24,40,5,3,16,0.588,0.389,0.25,17.0
494,1626174,14,116,6,59,4,16,12,0.677,0.592,0.478,31.0
495,1626153,16,130,51,55,19,6,10,0.786,0.5,0.308,28.0
497,201152,17,161,29,73,17,6,26,0.609,0.405,0.302,23.0
498,1629027,15,388,130,66,24,1,71,0.826,0.435,0.349,109.0
499,203469,16,180,21,136,8,6,25,0.644,0.511,0.379,45.0
500,1627790,4,24,0,14,1,1,1,0.8,0.556,0.0,5.0
501,1627826,17,142,16,120,3,21,16,0.78,0.598,0.0,41.0
