,PlayerID,GP,PTS,AST,REB,STL,BLK,TOV,FT_PCT,FG_PCT,FG3_PCT,FTA,FGA,FG3M,MIN,PLUS_MINUS
93,202722,24,15.4,1.6,4.6,0.6,0.7,0.6,0.889,0.466,0.456,1.5,10.9,8.5,28.8,0.2
94,1628368,9,18.2,7.0,4.0,0.8,0.6,4.1,0.71,0.43,0.333,6.9,14.2,3.3,32.1,-4.9
95,1629631,26,12.7,1.9,4.0,0.7,0.3,1.7,0.773,0.399,0.354,2.5,11.2,5.0,31.9,-4.2
96,1629001,15,5.8,3.1,3.4,1.2,0.3,1.5,0.864,0.408,0.286,1.5,5.1,1.4,15.7,0.7
97,201599,23,8.3,2.0,9.7,0.4,1.0,1.0,0.667,0.664,0.0,2.2,5.2,0.0,21.4,-2.7
98,1627761,26,6.7,2.4,4.1,1.3,0.5,1.5,0.486,0.487,0.237,1.4,5.8,1.5,23.5,-6.3
99,201942,25,21.2,4.7,5.6,1.0,0.5,2.5,0.792,0.505,0.333,6.0,16.2,0.6,34.4,-5.8
100,201960,11,2.5,0.9,2.6,0.2,0.2,0.8,0.714,0.28,0.25,1.3,2.3,1.1,10.9,1.0
101,1629731,3,1.0,0.0,0.7,0.3,0.0,0.0,0.0,0.5,1.0,0.0,0.7,0.3,6.1,1.0
102,1629028,1,18.0,0.0,11.0,1.0,4.0,0.0,0.0,0.643,0.0,0.0,14.0,0.0,33.4,25.0
103,1627749,22,9.9,4.1,6.1,1.7,0.3,2.2,0.774,0.462,0.192,2.4,8.5,1.2,22.7,-4.1
104,1626153,23,7.2,3.3,3.3,1.1,0.3,0.7,0.824,0.477,0.351,1.5,5.7,1.6,20.6,4.3
105,203471,25,17.0,3.4,3.7,0.7,0.3,2.6,0.813,0.461,0.339,2.6,14.3,5.0,29.6,3.2
106,1628372,17,5.4,2.7,1.9,0.4,0.3,1.5,0.519,0.318,0.303,1.6,6.3,1.9,17.2,-8.1
107,1627756,14,7.4,1.4,2.2,0.7,0.3,0.6,1.0,0.447,0.434,0.4,6.1,3.8,13.3,1.4
108,1629126,12,2.8,0.3,1.8,0.1,0.1,0.3,0.75,0.394,0.294,0.3,2.8,1.4,8.4,-0.3
109,202324,11,7.7,2.0,8.5,0.5,0.5,1.5,0.286,0.577,0.5,0.6,6.5,0.2,20.3,-3.2
110,1627884,12,6.3,1.2,2.9,1.1,0.3,0.7,0.708,0.491,0.278,2.0,4.6,1.5,18.6,2.7
111,201565,21,16.4,6.0,2.0,0.8,0.3,2.5,0.87,0.484,0.333,2.6,13.7,2.7,24.0,2.1
112,1628476,12,2.4,1.0,0.6,0.3,0.0,0.2,0.857,0.5,0.417,0.6,1.5,1.0,10.7,2.5
113,1628401,23,9.7,2.9,2.3,0.5,0.7,1.2,0.8,0.465,0.385,2.4,7.4,2.3,24.1,-2.4
114,1626164,24,25.0,6.4,3.9,0.6,0.3,3.8,0.903,0.507,0.406,5.6,17.5,5.5,35.9,1.3
115,1628985,5,1.0,0.6,0.2,0.0,0.0,0.2,0.75,0.2,0.0,0.8,1.0,0.4,3.9,4.0
116,1628984,29,19.6,7.4,3.8,0.8,0.3,3.1,0.803,0.401,0.411,4.2,15.6,9.1,34.1,-1.5
117,1629608,3,1.3,0.0,2.3,0.3,0.0,0.3,1.0,0.2,0.0,0.7,1.7,0.3,3.2,-0.3
